feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,label
0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02
2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532
1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316
0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622
0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076
0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072
0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024
0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628
0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026
0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028
0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186
0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09
2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112
0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146
0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416
0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588
0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322
1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1
2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038
0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036
0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026
0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024
0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02
0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024
0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024
0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972
3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676
0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978
0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39
0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338
0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972
0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348
0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164
