feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23
0.018,0.018,0.016,0.014,0.01,0.01,0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036
0.018,0.016,0.014,0.01,0.01,0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03
0.016,0.014,0.01,0.01,0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03
0.014,0.01,0.01,0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032
0.01,0.01,0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03
0.01,0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03
0.016,2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03
2.442,2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436
2.126,0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57
0.422,0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062
0.502,0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542
0.016,0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0
0.052,1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226
1.458,0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42
0.424,0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53
0.184,0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374
0.34,0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568
0.564,1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814
1.44,0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736
0.082,1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764
1.376,0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172
0.108,0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714
0.1,0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226
0.036,0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826
0.03,0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198
0.03,0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01
0.032,0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176
0.03,0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006
0.03,0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004
0.03,1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566
1.436,0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708
0.57,2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862
2.062,1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406
1.542,1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514
1.0,0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398
0.226,2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034
2.42,2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31
2.53,0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494
0.374,2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978
2.568,0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758
0.814,3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186
3.736,1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498
1.764,0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698
0.172,1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964
1.714,0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104
0.226,2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03
2.826,0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026
0.198,0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024
0.01,0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024
0.176,0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024
0.006,0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024
0.004,0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022
0.566,2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024
2.708,1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024
1.862,1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924
1.406,1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542
1.514,0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63
0.398,1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23
1.034,0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576
0.31,0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73
0.494,0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67
0.978,0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01
0.758,0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5
0.186,1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46
1.498,1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344
1.698,0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844
0.964,0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592
0.104,0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31
0.03,0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704
0.026,0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592
0.024,0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142
0.024,0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068
0.024,0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466
0.024,0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306
0.022,0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534
0.024,0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208
0.024,0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022
0.924,1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012
1.542,0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312
0.63,1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756
1.23,0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602
0.576,1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078
1.73,0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016
0.67,1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026
1.01,0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04
0.5,1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286
1.46,1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12
1.344,1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182
1.844,1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122
1.592,2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998
2.31,0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404
0.704,0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598
0.592,0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386
0.142,0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102
0.068,0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8
0.466,0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054
0.306,0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024
0.534,0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014
0.208,0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022
0.022,0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024
0.012,0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012
0.312,0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024
0.756,1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88
1.602,0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13
0.078,0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402
0.016,0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566
0.026,0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172
0.04,0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302
0.286,0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856
0.12,0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46
0.182,0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124
0.122,1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878
1.998,2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37
2.404,1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03
1.598,0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586
0.386,1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392
1.102,0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582
0.8,0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508
0.054,0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092
0.024,0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03
0.014,0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014
0.022,0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018
0.024,0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018
0.012,0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012
0.024,1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024
1.88,2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936
2.13,1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888
1.402,1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028
1.566,0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44
0.172,0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402
0.302,1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338
1.856,0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024
0.46,0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012
0.124,0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024
0.878,2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326
2.37,2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062
2.03,1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318
1.586,0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652
0.392,1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652,1.698
1.582,0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652,1.698,1.788
0.508,0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652,1.698,1.788,1.092
0.092,0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652,1.698,1.788,1.092,0.112
0.03,0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652,1.698,1.788,1.092,0.112,0.078
0.014,0.018,0.018,0.012,0.024,1.936,2.888,3.028,0.44,0.402,0.338,0.024,0.012,0.024,0.326,0.062,0.318,0.652,1.698,1.788,1.092,0.112,0.078,0.036
